listing,price,brand,size
"Coach Mini Skinny ID Case Small Wallet 
With Pop Floral Print
          
      NWT",55.0,Coach,"4 1/4"" (L) × 3"" (H) × 1/2"" (W)"
Juicy‎ Couture Wristlet Clutch Black with Hot Pink Interior,50.0,Juicy Couture,OS
"Trina Turk Colorful Swirl Print Wallet - NWT
And Box
          
      NWT",45.0,Trina Turk,OS
"Lululemon 1L Everywhere Belt Bag Plush Fleece Bone/Silver
          
      NWT",55.0,lululemon athletica,OS
"Coach Blue and Tan Designer Shoulder Bag
          
      NWT",130.0,Coach,OS
Vintage Embroidered Cloth Elephant Clutch with Sequins,29.0,Vintage,6” x 5” x 1”
Lancome Black and White Floral Tote,19.0,Lancome,15x13
"Cozumel Sunset Pouch – Yellow & Purple Vibrant Cozumel Mexico Pouch
          
      Boutique",10.0,Passion of Essence,OS
Michael Michael Kors MK Off White Leather East West Hamilton Tote Cream Shoulder,60.0,MICHAEL Michael Kors,OS
Elegant Floral Cream Handbag with Bamboo Handle,18.0,,OS
"Nicole Miller 2-Piece Bag Set, Bone, Bag: 10×8×2.5, Pouch: 4×1, NWT
          
      NWT",40.0,Nicole Miller New York,OS
"Badgley Mischka Pleated Crossbody Bag Deep Plum Vegan‎ Leather Braid Chain Strap
          
      NWT",17.0,Badgley Mischka,OS
NWT Longchamp Le Pliage Original Large Shoulder Nylon Bag Tote,95.0,Longchamp,OS
"NWT Laurel Burch Cat Cosmetic Makeup Bag With Mirror!
          
      NWT",16.0,Laurel Burch,OS
BRAHMIN AMY IN RARE LATTE BUENA VISTA SHOULDER BAG​​​​​​​​​,195.0,Brahmin,OS
Coach Mini Belt Bag In Colorblock Signature Canvas,110.0,Coach,OS
"J World Terry Messenger‎ Bag For School And Travel, Blue Raspberry",15.0,j world,OS
Bach to the 90s Clear Tote Bag,25.0,,OS
Victoria Leather Company Light Tan Leather Saddle Bag,95.0,Victoria Leather Company,OS
"Vera Bradley Where’s Mickey? Large cosmetic toiletries travel bag
          
      NWT",59.0,Vera Bradley,OS
Dooney & Bourke‎ Large Black/NYLON Red interior Tote,73.0,Dooney & Bourke,11.5” H and 16” W.
"Coach Mini Beat Bag Bag Charm
          
      NWT",110.0,Coach,OS
MCM Blue Studded Women's Bag,290.0,MCM,OS
"PH Design Minimalist Canvas‎ Makeup Bag Cosmetic Pouch with Logo Print
          
      NWT",5.0,,OS
Coach Tan Brown Signature Op Art Satchel Bag,52.0,Coach,OS
Kate Spade Cobalt PVC Beach Club Beth Wicker Basket Tote Bag,100.0,kate spade,OS
"Rebecca Minkoff Ascher Crossbody, red with evil eyes, EUC!",179.0,Rebecca Minkoff,OS
Sakroots | crossbody bag Navy Spirit Desert 2 Artist Circle pattern navy blue,28.0,Sakroots,OS
"NWT Juicy Couture Pink Blank Canvas Sequin Triangular Frame Pouch Wristlet
          
      NWT",25.0,Juicy Couture,OS
Vintage Buxton Brown Leather Women's Wallet and Key Trainer Set,15.0,,OS
"Brahmin Large Duxbury Fairest Grey Breakwater Leather Satchel & Veronica Wallet
          
      NWT",499.0,Brahmin,OS
"Organza Silk Floral Embroidered Clutch New
          
      NWT",90.0,Boutique,OS
ALO Yoga Explorer Convertible Pack | 3L Nylon Waist Bag,55.0,ALO Yoga,OS
Ralph Lauren Polo clutch,185.0,Polo Ralph Lauren,OS
Faux Snakeskin Small Clear Crossbody Bag,25.0,,OS
Colorblock Satchel Bag,16.0,Diane Von Furstenberg,OS
Faux Leather Crossbody / Shoulder / Purse Brown with Gunmetal Hardware Gift Idea,16.0,Unknown,OS
Aeropostale Tote Bag,15.0,Aeropostale,OS
Beaded Vintage Evening Bag,95.0,Vintage,OS
GUCCI Sukey Brown Cloth Satchel 240-020425,595.0,Gucci,"13""L x 7""W x 10""H"
FENDI Nylon tote Handbag,325.0,Fendi,11.5x13.5x6.75 inches
Vintage Tapestry Brocade Tapestry Knitting Purse Amber Acrylic Handle Tote Bag,20.0,Vintage,OS
Entrupy Verified Seller‼️🔥 Purchase a Certificate of Authenticity,47.0,,OS
Satchel Savannah Stewardess Bag Copper Cowhide Burgundy Leather handmade in GA,119.0,satchel,OS
Brown Liz Claiborne Elly Convertible Crossbody Bag I’m vegan leather,15.0,Liz Claiborne,OS
Gucci Vintage GG Monogram Supreme Boston Handbag PVC Leather Navy,499.0,Gucci,OS
Saint Laurent Cassandra Leather Zip Around Wallet,320.0,Saint Laurent,OS
Anne Klein Quilted Crossbody Handbag Purse With Scarf,30.0,Anne Klein,OS
"b.o.c. Born Concept BAG Large Shoulder Handbag NWT $99
          
      NWT",39.0,b.o.c,OS
Tianni Quilted Crossbody Bag - Small Silver Chic & Versatile Women's Evening Bag,25.0,tianni,OS
Vera Bradley Navy Quilted Wristlet,30.0,Vera Bradley,OS
"Crescent Shoulder Bag for Women Black
          
      NWT",59.0,,OS
"Ed Hardy Hardside Luggage
          
      NWT",275.0,Ed Hardy,"20"" × 16"" × 10"" + 2"""
Primeware Insulate Wine Clutch magenta pink faux crocodile gift bag tote,11.0,Primeware,OS
Studio C puffy Colorful Quilted zipper cosmetic Pouch,12.0,studio C,OS
"‼️NEW IN‼️White Teddy Bear Print Diaper Backpack Fast Shipping 📦
          
      NWT",16.0,,OS
Valentino Dust Bag,15.0,Valentino,No size
"Coach satchel bag NWT black crossbody
          
      NWT",186.0,Coach,OS
Ralph Lauren RLL leather tote bag. Classic.,125.0,Ralph Lauren Double RL,OS
Textured Black Hobo Shoulder Bag w/ Silver Hardware,55.0,HOBO,OS
Kate Spade Arbor Hill Charline Black Leather Bag,105.0,kate spade,OS
Elegant Black Feathered Women's Bag,15.0,Boots,OS
Gucci Tote Large Shopping Bag Tote with PVC/TPU Cover Rare Find Limited Edition,289.0,Gucci,OS
Etienne Aigner Black Leather Shoulder Bag Classic Design,25.0,Etienne Aigner,OS
Anne Klein Metallic Wristlet,25.0,Anne Klein,OS
Fossil Leather Purse Crossbody Adjustable Strap,23.0,Fossil,OS
"MCM Yellow Small Anna Tote AUTHENTIC NWT
          
      NWT",800.0,MCM,OS
CHRISTIAN DIOR CD Logo Caro Mini Shoulder Bag Leather Black GHW Italy 653RK180,5120.0,Dior,"W  7.5 x H 4.3 x D 2   "" (approx.)"
Louboutin Pink Purse Authenticated by Real Authentication,2890.0,Christian Louboutin,PURSE: 8.25 in. X 8.50 in.
Johnny Was Women's Blue Geometric Floral Reusable Tote Bag,22.0,Johnny Was,OS
Brighton Black Pebble Leather Brown Croc Trim Shoulder Bag Purse,35.0,Brighton,OS
